show_id,country_1,country_2,country_3,country_4,country_5,country_6,country_7,country_8,country_9,country_10,country_11,country_12
s1,United States,,,,,,,,,,,
s2,South Africa,,,,,,,,,,,
s3,,,,,,,,,,,,
s4,,,,,,,,,,,,
s5,India,,,,,,,,,,,
s6,,,,,,,,,,,,
s7,,,,,,,,,,,,
s8,United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia,,,,,,
s9,United Kingdom,,,,,,,,,,,
s10,United States,,,,,,,,,,,
s11,,,,,,,,,,,,
s12,,,,,,,,,,,,
s13,Germany, Czech Republic,,,,,,,,,,
s14,,,,,,,,,,,,
s15,,,,,,,,,,,,
s16,United States,,,,,,,,,,,
s17,,,,,,,,,,,,
s18,Mexico,,,,,,,,,,,
s19,,,,,,,,,,,,
s20,,,,,,,,,,,,
s21,,,,,,,,,,,,
s22,Turkey,,,,,,,,,,,
s23,,,,,,,,,,,,
s24,,,,,,,,,,,,
s25,India,,,,,,,,,,,
s26,Australia,,,,,,,,,,,
s27,,,,,,,,,,,,
s28,United States,,,,,,,,,,,
s29,United States,,,,,,,,,,,
s30,United States, India, France,,,,,,,,,
s31,,,,,,,,,,,,
s32,,,,,,,,,,,,
s33,United Kingdom,,,,,,,,,,,
s34,,,,,,,,,,,,
s35,,,,,,,,,,,,
s36,,,,,,,,,,,,
s37,,,,,,,,,,,,
s38,Finland,,,,,,,,,,,
s39,China, Canada, United States,,,,,,,,,
s40,India,,,,,,,,,,,
s41,United States,,,,,,,,,,,
s42,United States,,,,,,,,,,,
s43,United States,,,,,,,,,,,
s44,United States,,,,,,,,,,,
s45,United States,,,,,,,,,,,
s46,,,,,,,,,,,,
s47,South Africa, United States, Japan,,,,,,,,,
s48,,,,,,,,,,,,
s49,United States,,,,,,,,,,,
s50,Nigeria,,,,,,,,,,,
s51,India,,,,,,,,,,,
s52,Japan,,,,,,,,,,,
s53,Japan,,,,,,,,,,,
s54,Japan,,,,,,,,,,,
s55,Japan,,,,,,,,,,,
s56,United States,,,,,,,,,,,
s57,Japan,,,,,,,,,,,
s58,Japan,,,,,,,,,,,
s59,Japan,,,,,,,,,,,
s60,Japan,,,,,,,,,,,
s61,Japan,,,,,,,,,,,
s62,Japan,,,,,,,,,,,
s63,Japan,,,,,,,,,,,
s64,Japan,,,,,,,,,,,
s65,,,,,,,,,,,,
s66,United Kingdom,,,,,,,,,,,
s67,India,,,,,,,,,,,
s68,United States,,,,,,,,,,,
s69,,,,,,,,,,,,
s70,India,,,,,,,,,,,
s71,,,,,,,,,,,,
s72,,,,,,,,,,,,
s73,United Kingdom,,,,,,,,,,,
s74,Nigeria,,,,,,,,,,,
s75,,,,,,,,,,,,
s76,,,,,,,,,,,,
s77,Japan,,,,,,,,,,,
s78,,,,,,,,,,,,
s79,,,,,,,,,,,,
s80,,,,,,,,,,,,
s81,,,,,,,,,,,,
s82,United States,,,,,,,,,,,
s83,United States,,,,,,,,,,,
s84,,,,,,,,,,,,
s85,Nigeria,,,,,,,,,,,
s86,,,,,,,,,,,,
s87,,,,,,,,,,,,
s88,,,,,,,,,,,,
s89,,,,,,,,,,,,
s90,,,,,,,,,,,,
s91,Spain, United States,,,,,,,,,,
s92,France,,,,,,,,,,,
s93,Belgium,,,,,,,,,,,
s94,,,,,,,,,,,,
s95,United Kingdom, United States,,,,,,,,,,
s96,United States, United Kingdom,,,,,,,,,,
s97,United States,,,,,,,,,,,
s98,United States,,,,,,,,,,,
s99,United Kingdom,,,,,,,,,,,
s100,France, United States,,,,,,,,,,
s101,,,,,,,,,,,,
s102,United States,,,,,,,,,,,
s103,,,,,,,,,,,,
s104,,,,,,,,,,,,
s105,South Korea,,,,,,,,,,,
s106,India,,,,,,,,,,,
s107,United States,,,,,,,,,,,
s108,United States,,,,,,,,,,,
s109,Australia,,,,,,,,,,,
s110,Spain,,,,,,,,,,,
s111,,,,,,,,,,,,
s112,United States, Singapore,,,,,,,,,,
s113,,,,,,,,,,,,
s114,,,,,,,,,,,,
s115,India,,,,,,,,,,,
s116,United Kingdom, Australia, France,,,,,,,,,
s117,India,,,,,,,,,,,
s118,United Kingdom, United States,,,,,,,,,,
s119,India,,,,,,,,,,,
s120,,,,,,,,,,,,
s121,Australia,,,,,,,,,,,
s122,,,,,,,,,,,,
s123,United Kingdom, Australia, France, United States,,,,,,,,
s124,,,,,,,,,,,,
s125,South Korea,,,,,,,,,,,
s126,United States,,,,,,,,,,,
s127,India,,,,,,,,,,,
s128,United States, Canada,,,,,,,,,,
s129,,,,,,,,,,,,
s130,Germany, United States,,,,,,,,,,
s131,,,,,,,,,,,,
s132,United States,,,,,,,,,,,
s133,,,,,,,,,,,,
s134,South Africa, United States,,,,,,,,,,
s135,United States, Mexico,,,,,,,,,,
s136,United States, Italy, France, Japan,,,,,,,,
s137,United States, Italy, Romania, United Kingdom,,,,,,,,
s138,Australia, United States,,,,,,,,,,
s139,United States,,,,,,,,,,,
s140,United States,,,,,,,,,,,
s141,Argentina, Venezuela,,,,,,,,,,
s142,United States, United Kingdom, Canada,,,,,,,,,
s143,Germany, United States,,,,,,,,,,
s144,United States,,,,,,,,,,,
s145,United States,,,,,,,,,,,
s146,United States,,,,,,,,,,,
s147,United States,,,,,,,,,,,
s148,,,,,,,,,,,,
s149,,,,,,,,,,,,
s150,United States,,,,,,,,,,,
s151,United States,,,,,,,,,,,
s152,China, Hong Kong,,,,,,,,,,
s153,United States,,,,,,,,,,,
s154,Russia,,,,,,,,,,,
s155,Japan,,,,,,,,,,,
